genus	count
 Danio	420
 Homo	12421
 Mus	6891
 Rattus	2149
 Mesobuthus	1
 Nycticebus	866
 Bos	2301
 Xenopus	839
 Gallus	2255
 Sophophora	544
 Canis	193
 Silurana	378
 Cricetulus	53
 Caenorhabditis	220
 Pongo	757
 Schizosaccharomyces	100
 Equus	30
 Ailuropoda	14
 Oryctolagus	226
 Sus	287
 Macaca	299
 Cavia	41
 Aquarana	13
 Arabidopsis	58
 Saccharomyces	134
 Cavemovirus	27
 Epsilonretrovirus	11
 Plasmodium (Laverania)	3
 Drosophila	73
 Betaretrovirus	44
 Deltaretrovirus	10
 Papio	22
 Saimiri	7
 Nicotiana	147
 Tragulus	167
 Felis	24
 Petuvirus	40
 Oncorhynchus	12
 Crotalus	14
 Anoplopoma	2
 Bovine lentivirus group	4
 Pan	96
 Mizuhopecten	2
 Taeniopygia	13
 Caulimovirus	14
 Lytechinus	3
 Columba	18
 Eptatretus	1
 Ovis	43
 Macroscelides	1
 Bombina	2
 Cricetus	1
 Alpharetrovirus	15
 Popillia	24
 Ictalurus	5
 Salmo	12
 Anolis	7
 Gekko	5
 Lycopersicon	1
 Dictyostelium	10
 Cerberus	2
 Gammaretrovirus	29
 Carlito	1
 Naja	8
 Tetraodon	4
 Mesocricetus	36
 Elaphe	3
 Gloydius	4
 Strongylocentrotus	7
 Ictidomys	3
 Capra	5
 Anas	9
 Torpedo	2
 Oryzias	2
 Chlorocebus	19
 Macrovipera	1
 Alligator	5
 Trichinella	2
 Borreliella	1
 Spermophilus	4
 Austrelaps	5
 Epinephelus	5
 unclassified Alpharetrovirus	5
 Nasonia	13
 Microtus	2
 unclassified Gammaretrovirus	16
 Diplobatis	10
 Murine leukemia virus	11
 Bradysia	14
 Meleagris	17
 Heloderma	3
 Takifugu	16
 Tripneustes	5
 Cephalopachus	1
 Naegleria	2
 Acanthamoeba	1
 Bothrops	3
 Gorilla	23
 Daboia	1
 Neoceratodus	1
 Python	2
 Streptococcus	1
 Rhinolophus	6
 Dirofilaria	1
 Escherichia	3
 Benyvirus	1
 Anguilla	5
 Squalus	4
 Sceloporus	4
 Saguinus	8
 Pleurodeles	8
 Spodoptera	1
 Oxybasis	4
 Styela	1
 Sturnus	1
 Haemophilus	4
 Bombyx	1
 Vulpes	3
 Sorex	3
 Tetronarce	5
 Coturnix	43
 Varanus	5
 Cervus	1
 Bufo	2
 Patiria	2
 Vanderwaltozyma	1
 Branchiostoma	2
 Didelphis	9
 Tyto	2
 Cyprinus	2
 Otolemur	3
 Mustela	6
 Phodopus	1
 Petromyzon	1
 Electrophorus	1
 Pleurotus	1
 Cyclophiops	1
 Sminthopsis	1
 Rhinella	4
 Oxyuranus	2
 Neovison	3
 Serinus	4
 Protobothrops	4
 Agkistrodon	2
 Meriones	2
 Struthio	5
 Heterodontus	5
 Carassius	10
 Hordeum	2
 Nematostella	2
 Oreochromis	5
 Pseudopleuronectes	1
 Chelydra	4
 Micrurus	2
 Iguana	6
 Avihepadnavirus	3
 Junonia	1
 Primate lentivirus group	8
 Nannospalax	1
 Litopenaeus	2
 Bungarus	2
 Cebuella	1
 Oenothera	2
 Dugesia	1
 Hylobates	4
 Pseudonaja	5
 Intracisternal A-particles	2
 Perna	1
 Thunnus	2
 Dicentrarchus	3
 Bitis	3
 Lychas	1
 Sistrurus	1
 Ambystoma	4
 Cairina	3
 Salvelinus	2
 Notophthalmus	3
 Dromaius	4
 Monodelphis	5
 Callithrix	12
 Zea	1
 Mycobacterium tuberculosis complex	2
 Bacillus	4
 Alternaria	1
 Penicillium	1
 Flavobacterium	1
 Erwinia	1
 Aplysia	1
 Ciona	2
 Pelodiscus	6
 Trachypithecus	2
 Onychomys	1
 Ophiophagus	7
 Synanceia	1
 Anser	1
 Meiacanthus	1
 Boa	1
 Fundulus	1
 Macropus	1
 Notomys	1
 Murina	1
 Saara	6
 Pantoea	1
 Soymovirus	1
 Podarcis	1
 Pelophylax	1
 Rutilus	3
 Osmerus	1
 Rhadinovirus	2
 Francolinus	3
 Polyplectron	1
 Cerastes	1
 Pagrus	2
 Tachyglossus	1
 Cynops	2
 Scophthalmus	1
 Allenopithecus	1
 Chaenocephalus	1
 Rana	3
 Dipodomys	1
 Amblyrhynchus	1
 Heliocidaris	1
 Delphinapterus	1
 Anopheles	1
 Pogona	3
 Dasypus	3
 Spumavirus	2
 Bonasa	1
 Lophura	1
 Haemorhous	1
 Urechis	3
 Clarias	1
 Tamias	2
 Eimeria	1
 Suipoxvirus	1
 Xiphophorus	1
 Tiliqua	1
 Caretta	1
 Bison	1
 Paguma	2
 Paleosuchus	1
 Tupinambis	1
 Perca	1
 Propithecus	1
 Rhabdophis	1
 Leioheterodon	1
 Trimorphodon	1
 Demansia	1
 Ustilago	1
 Tupaia	1
 Asterias	1
 Tropidechis	1
 Notamacropus	4
 Symbiobacterium	1
 Phasianidae	1
 Echis	2
 Paracentrotus	1
 Chionodraco	1
 Vaccinia virus	1
 Geospiza	1
 Aotus	1
 Muntiacus	1
 Microcebus	2
 Ornithorhynchus	1
 Catostomus	1
 Drysdalia	2
 Acropora	2
 Thrasops	4
 Renilla	1
 Homarus	1
 Pseudoferania	1
 Pseudomonas	1
 Heteropneustes	1
 Chinchilla	1
 Crocuta	1
 Prochlorococcus	3
 Fasciola	1
 Synechocystis	1
 Anemonia	1
 Helix	1
 Trypanosoma	1
 Monosiga	1
 Ateles	1
 Camelus	1
 Ellobius	1
 Philodryas	1
 Potorous	1
 Megalobrama	1
 Saccoglossus	1
 Geobacter	1
 Panthera	1
 Myocastor	1
 Chlamydomonas	1
 Myxococcus	1
 Zootoca	2
